Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
58072;58;12;Antiquarium Comunale;2013;2013-03-27T09:15:40Z;2228507382;12,6559423;41,4567048
58072;58;12;Museo dello sbarco alleato;2013;2013-03-27T09:15:39Z;2228507576;12,656055;41,4565036
58046;58;12;Museo Abbazzia S. Nilo;2013;2013-05-03T22:29:22Z;2290919600;12,6664605;41,7861047
43030;43;11; ;2013;2013-03-11T22:30:14Z;2196578875;13,5676976;43,3443158
41067;41;11;Galleria Nazionale delle Marche;2013;2013-02-26T22:24:59Z;2176175480;12,636461;43,7239057
41043;41;11;"Museo """"Bronzi dorati della Città di Pergola""""";2013;2013-05-07T23:35:51Z;2295317855;12,8365063;43,5578686
48017;48;9;Fondazione Romano;2013;2013-05-05T10:43:34Z;2292273545;11,2475985;43,7670047
48043;48;9;Museo Richard-Ginori della Manifattura di Doccia;2016;2016-02-15T19:25:36Z;2209858755;11,1914363;43,8388434
49010;49;9; ;2013;2013-03-30T05:38:15Z;2236644407;10,167591;42,7892968
53015;53;9;museo della miniera;2013;2013-05-12T06:54:36Z;2300493501;10,8890603;43,0481059
52034;52;9;Museo del Bosco;2013;2013-05-26T22:38:54Z;2321321196;11,2564953;43,2096793
54056;54;10;Mola Casanova;2014;2014-12-29T16:35:54Z;2214535838;12,3324026;43,2951742
55033;55;10;Centro di Paleontologia Vegetale;2013;2013-01-01T18:34:59Z;2091317487;12,4520912;42,6728403
54019;54;10;Antiquarium comunale;2013;2013-04-10T09:41:44Z;2261324438;12,7618863;43,2952329
54039;54;10;Centro della Scienza P.O.S.T.;2013;2013-01-01T19:07:32Z;2091347283;12,3922836;43,11442
54051;54;10;Casa Romana di Vespasia Polla;2013;2013-07-14T05:05:18Z;2151540144;12,73765;42,7334906
54033;54;10;Museo Etnografico Il tamburo parlante;2012;2012-12-20T11:52:09Z;2076041387;12,3269199;43,3643457
54033;54;10;Museo Civico San Francesco;2013;2013-12-31T17:59:10Z;2076041389;12,326743;43,3642598
55024;55;10; ;2013;2013-01-27T22:03:19Z;2131515296;12,471067;42,4174114
100005;100;9;Museo del Tessuto;2015;2015-02-02T08:25:55Z;2080887279;11,0986945;43,8772936
